STATE_NAME,DISTRICT,LATITUDE,LONGITUDE,ELEVATION,
Andaman and Nicobar,NICOBAR,7.00002,93.81105,124.2 ,
Andaman and Nicobar,SOUTH ANDAMAN,10.70569,92.48747,118.3,
Andaman and Nicobar,N & M ANDAMAN,12.68,92.71,83,
Arunachal Pradesh,LOHIT,27.13,96.16,581,
Arunachal Pradesh,EAST SIANG,28.09,95.92,151.1,
Arunachal Pradesh,SUBANSIRI ,27.62,93.6,1382.6,
Arunachal Pradesh,TIRAP,27,95.4,566.0 ,
Arunachal Pradesh,ANJAW ,27.48,95.75,4064.6 ,
Arunachal Pradesh,LOWER DIBANG,27.53,95.5,1264,
Arunachal Pradesh,CHANGLANG,27.12,95.61,481.9,
Arunachal Pradesh,PAPUM PARE,27.1,93.6,1343.5,
Arunachal Pradesh,LOW SUBANSIRI,27.01,93.57,1465.2,
Arunachal Pradesh,UPPER SIANG,28.03,94.96,2255.8,
Arunachal Pradesh,WEST SIANG,29.03,94.98,2176.5 ,
Arunachal Pradesh,DIBANG VALLEY,27.5,95.6,1447.6 ,
Arunachal Pradesh,WEST KAMENG,26.98,92.89,1603.8 ,
Arunachal Pradesh,EAST KAMENG,27.15,92.67,775.3,
Arunachal Pradesh,TAWANG,27.67,91.87,4310.8,
Arunachal Pradesh,KURUNG KUMEY,27,93.93,1909.4,
Assam,CACHAR,24.68,92.79,28.1,
Assam,DARRANG,26.3,92.08,59.6,
Assam,GOALPARA,26.18,90.61,48,
Assam,KAMRUP,26.2,91.6,41.8,
Assam,LAKHIMPUR,27.2,94.14,138.6,
Assam,NORTH CACHAR,24.7,92.9,223,
Assam,NAGAON,26.33136,92.75248,66,
Assam,SIVASAGAR,26.98349,94.63942,95.9 ,
Assam,BARPETA,26.34594,91.03971,37,
Assam,DHUBRI,26.13228,90.125,29,
Assam,DIBRUGARH,27.48446,94.90194,109,
Assam,JORHAT,26.75779,94.20796,95.3,
Assam,KARIMGANJ,24.58282,92.37255,74.2,
Assam,KOKRAJHAR,26.49121,90.12152,49.5,
Assam,SHONITPUR,26.677,92.6984,48,
Assam,GOLAGHAT,26.51083,93.97437,104.0 ,
Assam,TINSUKIA,27.48797,95.36019,128.2,
Assam,HAILAKANDI,24.6839,92.561,20,20
Assam,DHEMAJI,27.4833,94.5833,90,
Assam,KARBI ANGLONG,26,93.5,300-400,
Assam,UDALGURI,26.75,92.1,100,
Assam,KAMRUP METROP,26.1445,91.7362,55,
Assam,CHIRANG,26.5,90.7,60-80,
Assam,BAKSA BARPETA,26.7,91.2,100,
Assam,BONGAIGAON,26.5,90.56,62,
Assam,MORIGAON,26.25,92.35,65,
